Training progress:  51%|█████▏    | 154/300 [17:55<16:49,  6.91s/it]Loss at epoch 154: 1.020311
Training progress:  52%|█████▏    | 155/300 [18:01<16:29,  6.82s/it]Loss at epoch 155: 1.004172
Training progress:  52%|█████▏    | 156/300 [18:08<16:11,  6.75s/it]Loss at epoch 156: 0.999572
Training progress:  52%|█████▏    | 157/300 [18:14<15:46,  6.62s/it]Loss at epoch 157: 0.999884
Training progress:  53%|█████▎    | 158/300 [18:21<15:28,  6.54s/it]Loss at epoch 158: 0.999740
Training progress:  53%|█████▎    | 159/300 [18:27<15:15,  6.49s/it]Loss at epoch 159: 1.000247
Training progress:  53%|█████▎    | 160/300 [18:33<15:02,  6.44s/it]Loss at epoch 160: 1.000288
Training progress:  54%|█████▎    | 161/300 [18:40<14:52,  6.42s/it]Loss at epoch 161: 0.999881
Training progress:  54%|█████▍    | 162/300 [18:46<14:43,  6.40s/it]Loss at epoch 162: 1.000163
Training progress:  54%|█████▍    | 163/300 [18:53<14:35,  6.39s/it]Loss at epoch 163: 1.000338
Training progress:  55%|█████▍    | 164/300 [18:59<14:28,  6.39s/it]Loss at epoch 164: 1.000086
Training progress:  55%|█████▌    | 165/300 [19:05<14:21,  6.38s/it]Loss at epoch 165: 1.000282
Training progress:  55%|█████▌    | 166/300 [19:12<14:13,  6.37s/it]Loss at epoch 166: 0.999884
Training progress:  56%|█████▌    | 167/300 [19:18<14:07,  6.37s/it]Loss at epoch 167: 0.999851
Training progress:  56%|█████▌    | 168/300 [19:24<14:01,  6.38s/it]Loss at epoch 168: 1.000222
Training progress:  56%|█████▋    | 169/300 [19:31<13:54,  6.37s/it]Loss at epoch 169: 0.999696
Training progress:  57%|█████▋    | 170/300 [19:37<13:48,  6.37s/it]Loss at epoch 170: 0.999990
Training progress:  57%|█████▋    | 171/300 [19:43<13:40,  6.36s/it]Loss at epoch 171: 0.999715
Training progress:  57%|█████▋    | 172/300 [19:50<13:35,  6.37s/it]Loss at epoch 172: 0.999627
Training progress:  58%|█████▊    | 173/300 [19:56<13:28,  6.37s/it]Loss at epoch 173: 0.999754
Training progress:  58%|█████▊    | 174/300 [20:03<13:23,  6.37s/it]Loss at epoch 174: 0.999778
Training progress:  58%|█████▊    | 175/300 [20:09<13:16,  6.37s/it]Loss at epoch 175: 1.000400
Training progress:  59%|█████▊    | 176/300 [20:15<13:10,  6.37s/it]Loss at epoch 176: 1.000281
Training progress:  59%|█████▉    | 177/300 [20:22<13:03,  6.37s/it]Loss at epoch 177: 1.000601
Training progress:  59%|█████▉    | 178/300 [20:28<12:56,  6.37s/it]Loss at epoch 178: 1.000055
Training progress:  60%|█████▉    | 179/300 [20:34<12:50,  6.37s/it]Loss at epoch 179: 1.000156
Training progress:  60%|██████    | 180/300 [20:41<12:42,  6.36s/it]Loss at epoch 180: 0.999797
Training progress:  60%|██████    | 181/300 [20:47<12:37,  6.37s/it]Loss at epoch 181: 0.999972
Training progress:  61%|██████    | 182/300 [20:53<12:31,  6.36s/it]Loss at epoch 182: 1.000135
Training progress:  61%|██████    | 183/300 [21:00<12:25,  6.37s/it]Loss at epoch 183: 0.999807
Training progress:  61%|██████▏   | 184/300 [21:06<12:19,  6.37s/it]Loss at epoch 184: 1.000438
Training progress:  62%|██████▏   | 185/300 [21:13<12:12,  6.37s/it]Loss at epoch 185: 1.000026
Training progress:  62%|██████▏   | 186/300 [21:19<12:06,  6.37s/it]Loss at epoch 186: 0.999864
Training progress:  62%|██████▏   | 187/300 [21:25<11:59,  6.36s/it]Loss at epoch 187: 1.000069
Training progress:  63%|██████▎   | 188/300 [21:32<11:53,  6.37s/it]Loss at epoch 188: 0.999892
Training progress:  63%|██████▎   | 189/300 [21:38<11:47,  6.37s/it]Loss at epoch 189: 0.999523
Training progress:  63%|██████▎   | 190/300 [21:44<11:41,  6.38s/it]Loss at epoch 190: 1.000136
Training progress:  64%|██████▎   | 191/300 [21:51<11:35,  6.38s/it]Loss at epoch 191: 0.999934
Training progress:  64%|██████▍   | 192/300 [21:57<11:29,  6.38s/it]Loss at epoch 192: 0.999590
Training progress:  64%|██████▍   | 193/300 [22:04<11:21,  6.37s/it]Loss at epoch 193: 0.999937
Training progress:  65%|██████▍   | 194/300 [22:10<11:15,  6.37s/it]Loss at epoch 194: 0.999860
Training progress:  65%|██████▌   | 195/300 [22:16<11:09,  6.37s/it]Loss at epoch 195: 0.999959
Training progress:  65%|██████▌   | 196/300 [22:23<11:02,  6.37s/it]Loss at epoch 196: 1.000297
Training progress:  66%|██████▌   | 197/300 [22:29<10:57,  6.38s/it]Loss at epoch 197: 1.000039
Training progress:  66%|██████▌   | 198/300 [22:35<10:50,  6.38s/it]Loss at epoch 198: 0.999746
Training progress:  66%|██████▋   | 199/300 [22:42<10:44,  6.39s/it]Loss at epoch 199: 0.999884
Training progress:  67%|██████▋   | 200/300 [22:48<10:38,  6.38s/it]Loss at epoch 200: 1.000145
Training progress:  67%|██████▋   | 201/300 [22:55<10:30,  6.37s/it]Loss at epoch 201: 0.999984
Training progress:  67%|██████▋   | 202/300 [23:01<10:23,  6.36s/it]Loss at epoch 202: 1.000082
Training progress:  68%|██████▊   | 203/300 [23:07<10:16,  6.36s/it]Loss at epoch 203: 0.999826
Training progress:  68%|██████▊   | 204/300 [23:14<10:10,  6.36s/it]Loss at epoch 204: 0.999580
Training progress:  68%|██████▊   | 205/300 [23:20<10:04,  6.36s/it]Loss at epoch 205: 1.000054
Training progress:  69%|██████▊   | 206/300 [23:26<09:57,  6.36s/it]Loss at epoch 206: 1.000040
Training progress:  69%|██████▉   | 207/300 [23:33<09:50,  6.35s/it]Loss at epoch 207: 1.000163
Training progress:  69%|██████▉   | 208/300 [23:39<09:46,  6.37s/it]Loss at epoch 208: 0.999939
Training progress:  70%|██████▉   | 209/300 [23:46<09:49,  6.48s/it]Loss at epoch 209: 1.000372
Training progress:  70%|███████   | 210/300 [23:52<09:38,  6.42s/it]Loss at epoch 210: 0.999818
Training progress:  70%|███████   | 211/300 [23:59<09:30,  6.41s/it]Loss at epoch 211: 0.999745
Training progress:  71%|███████   | 212/300 [24:05<09:23,  6.40s/it]Loss at epoch 212: 1.000013
Training progress:  71%|███████   | 213/300 [24:11<09:16,  6.39s/it]Loss at epoch 213: 1.000004
Training progress:  71%|███████▏  | 214/300 [24:18<09:09,  6.39s/it]Loss at epoch 214: 1.000054
Training progress:  72%|███████▏  | 215/300 [24:24<08:57,  6.32s/it]Loss at epoch 215: 0.999764
Training progress:  72%|███████▏  | 216/300 [24:30<08:53,  6.35s/it]Loss at epoch 216: 0.999697
Training progress:  72%|███████▏  | 217/300 [24:37<08:57,  6.47s/it]Loss at epoch 217: 1.000012
Training progress:  73%|███████▎  | 218/300 [24:44<09:14,  6.76s/it]Loss at epoch 218: 1.000063
Training progress:  73%|███████▎  | 219/300 [24:51<09:09,  6.79s/it]Loss at epoch 219: 0.999843
Training progress:  73%|███████▎  | 220/300 [24:58<08:56,  6.70s/it]Loss at epoch 220: 1.000391
Training progress:  74%|███████▎  | 221/300 [25:04<08:47,  6.67s/it]Loss at epoch 221: 1.000123
Training progress:  74%|███████▍  | 222/300 [25:11<08:38,  6.64s/it]Loss at epoch 222: 1.000324
Training progress:  74%|███████▍  | 223/300 [25:18<08:32,  6.65s/it]Loss at epoch 223: 1.000135
Training progress:  75%|███████▍  | 224/300 [25:24<08:29,  6.70s/it]Loss at epoch 224: 1.000078
Training progress:  75%|███████▌  | 225/300 [25:31<08:28,  6.78s/it]Loss at epoch 225: 0.999754
Training progress:  75%|███████▌  | 226/300 [25:38<08:18,  6.74s/it]Loss at epoch 226: 0.999760
Training progress:  76%|███████▌  | 227/300 [25:44<08:03,  6.63s/it]Loss at epoch 227: 1.000008
Training progress:  76%|███████▌  | 228/300 [25:51<07:59,  6.66s/it]Loss at epoch 228: 0.999870
Training progress:  76%|███████▋  | 229/300 [25:58<07:49,  6.62s/it]Loss at epoch 229: 1.000348
Training progress:  77%|███████▋  | 230/300 [26:04<07:45,  6.65s/it]Loss at epoch 230: 1.000111
Training progress:  77%|███████▋  | 231/300 [26:12<07:52,  6.85s/it]Loss at epoch 231: 1.000135
Training progress:  77%|███████▋  | 232/300 [26:18<07:39,  6.75s/it]Loss at epoch 232: 1.000174
Training progress:  78%|███████▊  | 233/300 [26:25<07:30,  6.72s/it]Loss at epoch 233: 1.000372
Training progress:  78%|███████▊  | 234/300 [26:32<07:25,  6.75s/it]Loss at epoch 234: 0.999901
Training progress:  78%|███████▊  | 235/300 [26:39<07:33,  6.98s/it]Loss at epoch 235: 1.000159
Training progress:  79%|███████▊  | 236/300 [26:46<07:20,  6.88s/it]Loss at epoch 236: 0.999889
Training progress:  79%|███████▉  | 237/300 [26:52<07:03,  6.72s/it]Loss at epoch 237: 0.999808
Training progress:  79%|███████▉  | 238/300 [26:58<06:44,  6.53s/it]Loss at epoch 238: 0.999818
Training progress:  80%|███████▉  | 239/300 [27:04<06:26,  6.33s/it]Loss at epoch 239: 0.999822
Training progress:  80%|████████  | 240/300 [27:09<05:57,  5.96s/it]Loss at epoch 240: 1.000135
Training progress:  80%|████████  | 241/300 [27:15<05:42,  5.81s/it]Loss at epoch 241: 1.000046
Training progress:  81%|████████  | 242/300 [27:21<05:48,  6.01s/it]Loss at epoch 242: 0.999639
Training progress:  81%|████████  | 243/300 [27:27<05:40,  5.98s/it]Loss at epoch 243: 1.000160
Training progress:  81%|████████▏ | 244/300 [27:33<05:31,  5.92s/it]Loss at epoch 244: 1.000045
Training progress:  82%|████████▏ | 245/300 [27:39<05:25,  5.91s/it]Loss at epoch 245: 1.000323
Training progress:  82%|████████▏ | 246/300 [27:45<05:16,  5.86s/it]Loss at epoch 246: 1.000064
Training progress:  82%|████████▏ | 247/300 [27:51<05:18,  6.00s/it]Loss at epoch 247: 1.000069
Training progress:  83%|████████▎ | 248/300 [27:57<05:09,  5.95s/it]Loss at epoch 248: 1.000216
Training progress:  83%|████████▎ | 249/300 [28:03<05:01,  5.92s/it]Loss at epoch 249: 1.000172
Training progress:  83%|████████▎ | 250/300 [28:08<04:55,  5.90s/it]Loss at epoch 250: 1.000101
Training progress:  84%|████████▎ | 251/300 [28:14<04:48,  5.90s/it]Loss at epoch 251: 0.999875
Training progress:  84%|████████▍ | 252/300 [28:20<04:41,  5.87s/it]Loss at epoch 252: 1.000130
Training progress:  84%|████████▍ | 253/300 [28:26<04:35,  5.87s/it]Loss at epoch 253: 0.999937
Training progress:  85%|████████▍ | 254/300 [28:32<04:27,  5.82s/it]Loss at epoch 254: 1.000208
Training progress:  85%|████████▌ | 255/300 [28:38<04:32,  6.05s/it]Loss at epoch 255: 0.999653
Training progress:  85%|████████▌ | 256/300 [28:44<04:24,  6.01s/it]Loss at epoch 256: 1.000070
Training progress:  86%|████████▌ | 257/300 [28:50<04:18,  6.02s/it]Loss at epoch 257: 0.999880
Training progress:  86%|████████▌ | 258/300 [28:56<04:10,  5.97s/it]Loss at epoch 258: 1.000233
Training progress:  86%|████████▋ | 259/300 [29:02<04:03,  5.93s/it]Loss at epoch 259: 1.000215
Training progress:  87%|████████▋ | 260/300 [29:08<03:55,  5.90s/it]Loss at epoch 260: 1.000165
Training progress:  87%|████████▋ | 261/300 [29:14<03:49,  5.88s/it]Loss at epoch 261: 1.000021
Training progress:  87%|████████▋ | 262/300 [29:19<03:41,  5.84s/it]Loss at epoch 262: 0.999967
